MusicBrainzID,NAME OF THE TRACK,ARTIST,ANNOTATED,EVALUATED / %accuracy (both root & type correct),RHYTHM FEEL,STYLE,FORM,ORCHESTRATION,INSTRUMENTATION,BASIC INFO
2394cfd9-ea6a-47cc-9aea-00d84c50746f,Manteca,Dizzy Gillespie and His Orchestra,+,%50.31,Afro-Cuban,Afro-Cuban Jazz,AABA,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Guitar, Bass, Drums, Bongo, Conga",Good example for Afro-Cuban Jazz (Rhythm and harmony)
3915e636-961a-4f34-9585-2242f2c9bd33,Tanga,Machito and His Afro-Cuban Orchestra,,,Latin Groove,Afro-Cuban Jazz,,Big Band,"trumpet, Alto Saxophone, Tenor Saxophone, Baritone Saxophone, Piano, Bass, Conga, Bongo, Timbales,Vocals",Representative of ???Afro Cuban Jazz??? / Latin groove & Swing
8ed097ef-6a98-440e-9f3c-1d652cacf655,"23 Degrees North, 82 Degrees West",Stan Kenton,,,Latin Groove,Afro-Cuban Jazz,,Big Band,"Trumpet,Trombone, bass trombone, alto saxophone, tenor saxophone, baritone saxophone, piano, guitar, bass, drums, bongo",Representative of ???Afro Cuban Jazz??? / Latin groove
b890d832-b54d-4b61-b30f-36f53df79b3b,Indiana,Bud Powell,+,%30,Uptempo Swing,Bebop,ABAC,Jazz Combo (Trio),"Piano, Bass, Drums",Representative of ???bebop??? .
a0acca3d-7d17-4ee8-8087-e5d4b46fa047,Night in Tunisia,Bud Powell Trio,+,%40.18,Afro-Cuban / Medium-up Swing,Bebop,AABA,Jazz Combo (Trio),"Piano, Bass, Drums",Non-walking bass line intro/ Afro-cuban feel on drums/ Bud Powell improv & imperfect structure (ABA in 2 nd chorus of solo).
a938db71-af38-4c0f-b804-d92362b8a932,Blues for Alice*,Charlie Parker,+,%27.04,Medium Swing,Bebop,Blues Bird,Jazz Combo (Quintet),"Alto Saxophone, Trumpet, Piano, Bass, Drums",Classic example of ???Bird Blues??? (Bebop Blues) / Parker???s reharmonization of regular Jazz Blues
fa64a98c-aae5-4e95-89a9-25b7dde6d33d,Crazeology (take 1),Charlie Parker,,,Uptempo Swing,Bebop,,Jazz Combo (Sextet),"Alto Saxophone, Trumpet, Trombone Piano, Bass, Drums",Representative of ???bebop??? .
cb202ce1-d335-428f-942f-0f92ee1a6077,"Oh, Lady Be Good (feat. Jazz at the Philharmonic)",Charlie Parker,,,Medium Swing,Bebop,AABA,Jazz Combo (Quartet),"Alto Saxophone, Piano, Bass, Drums",
c50ea630-b5f0-4c12-8e75-0321757d69a3,Parker's Mood,Charlie Parker All-Stars,+,%45.13,Slow Swing,Bebop,Blues Major,Jazz Combo (Quartet),"Alto Saxophone, Piano, Bass, Drums",Representative of Charlie Parker???s improvisation on 12-bar Blues in Bb in Slow Swing Blues rhythm
6e8c9071-6cf0-4592-b13f-693cae9b6669,Embraceable You,Charlie Parker Quintet, +,%28.91,Ballad,Bebop,ABAC,Jazz Combo (Quintet),"Alto Saxophone, Trumpet, Piano, Bass, Drums",Fine example of ???Ballad??? form. / Parker???s improvisations.
2815658d-a6d0-4f37-ac9e-de0f83bba929,Dexter Rides Again,Dexter Gordon,,,Medium-up Swing,Bebop,AABA,Jazz Combo (Quintet),"Trumpet, Tenor Saxophone, Piano, Bass, Drums",representative of ???bebop??? with a small jazz combo performing
b5c9ca7e-ba9f-4ebf-8609-f4dc24339594,Bikini,Dexter Gordon Quartet,+,%39,Uptempo Swing,Bebop,AABA / Blues Minor,Jazz Combo (Quartet),"Tenor Saxophone, Piano, Bass, Drums",Typical Minor-Blues progression with bebop style improvisations
34d74fae-5764-4015-aa6a-2c27b5cdb0f2,I Got Rhythm,Don Byas & Slam Stewart,+,%21.69,Uptempo Swing,Bebop,AABA,Duo,"Tenor Sax, Bass",Famous Jazz Form ???Rhythm Changes???. Orchestra is formed of only Bass and Saxophone
2723facd-9233-4286-809b-62df780ca474,Pent-Up House,Sonny Rollins,,,Medium-up Swing,Bebop,AABA,Jazz Combo (Quintet),"Trumpet, Tenor Saxophone, Piano, Bass, Drums",Representative of ???Hard-bop???
ce2d8d18-590f-468c-a020-b334ae916caa,Lady Bird,Tadd Dameron Sextet,,,Medium-up Swing,Bebop,ABAC,Jazz Combo (Sextet),"Trumpet, Tenor Saxophone, Piano, Bass, Drums",Fine composition from the ???Bop Era???.
b438e7a3-91b9-4e43-9551-03b07036f3f3,Evidence,Thelonious Monk, +,%11.57,Medium-up Swing,Bebop,AABA,Jazz Combo (Quartet),"Piano, Vibraphone, Bass, Drums",Representative of ???bebop??? .
c4267824-c699-4c45-a06f-441a0b1fc7b9,Bags' Groove,Thelonious Monk,+,%28.47,Medium Swing,Bebop,Blues Major,Jazz Combo (Trio),"Piano, Bass, Drums","Monk???s improv on 12-bar F Blues. Has lots of ???playing out???s, reharmonizations and synchopations while bass plays straight quarter notes on blues"
31f6b5f1-96d1-47cf-84e2-371d277577c6,St. Thomas,Sonny Rollins,+,%22.56,Afro-Cuban,Bebop / Afro-Cuban Jazz,AABA,Jazz Combo (Quartet),"Tenor Saxophone, Piano, Bass, Drums",Afro-Cuban/ Calypso rhythms with thematic improvisations by Sonny Rollins
bdf130fd-b72c-4cc1-89d0-1be77ecdbdd8,Lost Your Head Blues,Bessie Smith,,,Shuffle,Blues,Blues,Jazz Combo (Trio),Vocals/ Piano / Trumpet,Representative of early 1900???s blues recordings with Louis Armstrong improvs.
631a1e8b-184d-4967-b1ae-946c3e0a53c9,Black Water Blues,Bessie Smith &  James P. Johnson,,,Shuffle,Blues,Blues,,,
c0574bda-0b9c-4233-a201-f20766434c27,St. Louis Blues,Bessie Smith & Louis Armstrong,+,%51.42,Slow Swing,Blues,Blues,Jazz Combo (Trio),Vocals / Guitar / Trumpet,Representative of early 1900???s blues recordings with Louis Armstrong improvs.
4b8f321c-8a2d-43ac-858f-096df5dcfa88,Honky Tonk Train Blues,"Meade ""Lux"" Lewis",+,%89.34,Shuffle,Blues,Blues,Solo,Piano,Representative of ???boogie woogie??? piano playing
fd889e33-a067-498f-bbf8-9ffe305bde16,The Girl From Ipanema,Stan Getz & Joao Gilberto & Antonio Carlos Jobim,+,%54.6,Bossa Nova,Bossa Nova,AABA,Jazz Combo (Quartet),"Guitar, bass, percussion, vocals (male and female)",Fine example of Bossa Nova / Brazilian Jazz
080a5a42-6260-4a73-b08c-768df63201bc,Tricotism,Lucky Thompson Trio,+,%35,Medium-up Swing,Chamber Jazz / Bebop,AABA,Jazz Combo (Trio),"Tenor Saxophone, Guitar, Bass",Representative of ???Chamber Jazz???.
c71f4631-99b5-4d60-8447-108ffa93e4a2,Virgo From the Zodiac Suite,Mary Lou Williams,,,Medium Swing,Chamber Jazz / Swing,,Big Band,"Trumpet, Piano, Bass, Drums & Chamber Orchestra",Representative of ???Chamber Jazz / Orchestral Jazz???.
461c9fea-67b6-43a2-be45-dc291a4a1179,Harlem Congo,Chick Webb and His Orchestra,,,Uptempo Swing,Chicago Style,,Big Band,"Trumpet, Trombone, Clarinet, Alto Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums",Representative of ???Chicago Style??? / Dynamic drum playing
57e1ed14-f9a5-45b6-89d5-96932e6cfa30,That's a Serious Thing,Eddie Condon's Hot Shots,,,Medium Swing,Chicago Style,,Big Band,"Trumpet, Trombone, C-melody Saxophone, Tenor Saxophone, Banjo, Piano, Vocals, Drums",Representative of ???Chicago Style???.
b0e36ae6-05c5-4246-99a4-fca6f6681fc1,The Stampede,Fletcher Henderson and His Orchestra, +,%48,Medium-up Swing,Chicago Style,ABAC,Big Band,"Cornet,Trombone, Clarinet, Alto Saxophone, piano, banjo, tuba, drums, tenor saxophone",Fine example of early jazz era big band orchestration
6af10606-1aef-42d6-8f26-9ff66395eae1,Wrappin' It Up,Fletcher Henderson and His Orchestra,,,Medium-up Swing,Chicago Style,,Big Band,"Cornet,Trombone, Clarinet, Alto Saxophone, piano, banjo, tuba, drums, tenor saxophone",Fine example of early jazz era big band orchestration
168ea61b-9fdd-4d7f-908a-2970073becd1,Singin' the Blues (Til My Daddy Comes Home),Frankie Trumbauer and His Orchestra,+,%54.96,Medium Swing,Chicago Style,ABAC,Jazz Combo (Larger),"cornet, sax, clarinet, trombone, guitar, piano, drums",Influenced the development of ???ballad??? style playing.
c24bd7bd-aeef-42d1-9445-9ecea0eb0827,Rockin' Chair,Gene Krupa and His Orchestra, +,%42.37,Medium Swing,Chicago Style,ABCA,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums, Vocals",Representative of ???Chicago Style??? / Drums solo
39b5b10c-3974-4689-bf25-164bf9158230,Let Me Off Uptown,Gene Krupa and His Orchestra,,,Medium Swing,Chicago Style,,Big Band,"Trumpet, Trombone, Alto Saxophone, Tenor Saxophone, Piano, Guitar, Bass, Drums, Vocals",Representative of ???Chicago Style???.
a1315c6c-9a3c-4ae2-819d-63505727a24c,Maple Leaf Rag,Sidney Bechet & New Orleans Feetwarmers,+,%41.66,Two-Beat Feel,Chicago Style,Through-Composed,Jazz Combo (Sextet),"Trumpet, Trombone, Soprano Saxophone, Piano, Bass, Drums","Another version of the famous ragtime classic performed by a Jazz Combo (with brass section, drums and bass)"
aa95b666-fbf4-4854-bcd5-b1e9900cba84,Subconscious Lee,Lennie Tristano, +,%22.45,Uptempo Swing,Cool Jazz,AABA,Jazz Combo (Sextet),"Alto Saxophone, Tenor Saxophone, Guitar, Piano, Bass, Drums",Representative of ???bebop??? .
97aa4986-e1a8-4f26-adbf-5d0fadae0241,Wow,Lennie Tristano Sextet,,,Medium-up Swing,Cool Jazz,,Jazz Combo (Sextet),"Tenor Saxophone, Alto Saxophone, Guitar, Piano, Bass , Drums",Representative of ???Cool Jazz???
9708585c-b508-4357-b3f4-4a5c0b0af44f,Summertime,Miles Davis & Gil Evans,+,%22,Medium Swing,Cool Jazz,ABAC,Big Band,"Trumpet, Trombone, Bass Trombone, French Horn, Tuba, Flute, Clarinet, Alto Flute, Bass Clarinet, Alto Saxophone, Bass, Drums","Rich orchestration ??? an extended horn section with tuba, bass trombone, French horn and flutes. The composition and playing has Classical Western Music influence (Concerto for trumpet)"
